batch,op_id,status,ttc_s,difficulty
352,op-f091c83dff59,CONFIRMED,6.546,00
353,op-e6b7939c6ed7,CONFIRMED,6.545,00
354,op-93eab088db37,CONFIRMED,6.524,00
355,op-84969ba8f403,CONFIRMED,6.523,00
356,op-97daeb027ee6,CONFIRMED,6.531,00
357,op-964787597b4a,CONFIRMED,6.537,00
358,op-a3123080c43b,CONFIRMED,6.526,00
359,op-f8690f7da457,CONFIRMED,6.502,00
360,op-c6b5100438d8,CONFIRMED,6.477,00
361,op-b5376247462e,CONFIRMED,6.455,00
362,op-5f4dca67e87c,CONFIRMED,6.452,00
363,op-b8207ce35d45,CONFIRMED,6.471,00
364,op-a5232e463f42,CONFIRMED,6.471,00
365,op-13c458f5d123,CONFIRMED,6.479,00
366,op-745be4ebca24,CONFIRMED,6.479,00
367,op-b67984bec543,CONFIRMED,6.48,00
368,op-952b5f2ad886,CONFIRMED,6.479,00
369,op-27f83cc459c0,CONFIRMED,6.472,00
370,op-b764fc494a9f,CONFIRMED,6.459,00
371,op-a1a3b1a60bdb,CONFIRMED,6.479,00
372,op-82d1e810709a,CONFIRMED,6.478,00
373,op-5b6910a52d99,CONFIRMED,6.493,00
374,op-a160adaf2069,CONFIRMED,6.496,00
375,op-9824dc784616,CONFIRMED,6.473,00
376,op-1a8f695deae5,CONFIRMED,6.472,00
377,op-f5853f782665,CONFIRMED,6.487,00
378,op-4893ded09c05,CONFIRMED,6.477,00
379,op-3e27bcb78982,CONFIRMED,6.493,00
380,op-e94b7c5c304d,CONFIRMED,6.501,00
381,op-b3b4e5fe9e21,CONFIRMED,6.491,00
382,op-24925f5bcb02,CONFIRMED,6.491,00
383,op-f8b453437c74,CONFIRMED,6.502,00
384,op-91beb7acca1f,CONFIRMED,6.5,00
385,op-f35d93628418,CONFIRMED,6.486,00
386,op-7e776c1528b3,CONFIRMED,6.509,00
387,op-25b2c0b4e47c,CONFIRMED,6.516,00
388,op-0f805bf56a0d,CONFIRMED,6.515,00
389,op-3a013e0d1560,CONFIRMED,6.522,00
390,op-09fc8c9c90c2,CONFIRMED,6.527,00
391,op-2f227a2d17b3,CONFIRMED,6.537,00
392,op-88ff7c4886c7,CONFIRMED,6.536,00
393,op-d9a4847a224d,CONFIRMED,6.534,00
394,op-789aef8e1ce6,CONFIRMED,6.531,00
395,op-fd1872db06bd,CONFIRMED,6.531,00
396,op-25104f94a222,CONFIRMED,6.52,00
397,op-abc42b7449bc,CONFIRMED,6.54,00
398,op-0f92bdea6d78,CONFIRMED,6.53,00
399,op-cf8fc8f93dee,CONFIRMED,6.53,00
400,op-6e86ed896d99,CONFIRMED,6.521,00
401,op-46731867f934,CONFIRMED,6.519,00
402,op-d859739e14e4,CONFIRMED,6.532,00
403,op-f13844c629c0,CONFIRMED,6.519,00
404,op-5a74794079f2,CONFIRMED,6.519,00
405,op-c54eb3b82131,CONFIRMED,6.515,00
406,op-498230c86532,CONFIRMED,6.515,00
407,op-f040573a36a3,CONFIRMED,6.504,00
408,op-59d266a88093,CONFIRMED,6.503,00
409,op-9edca6e0bcc1,CONFIRMED,6.485,00
410,op-b4393b941dae,CONFIRMED,6.472,00
411,op-9f5ef4efd592,CONFIRMED,6.48,00
412,op-39538937d3f2,CONFIRMED,6.479,00
413,op-f7b062b04ae5,CONFIRMED,6.493,00
414,op-fe1285ec26f4,CONFIRMED,6.492,00
415,op-1a488ea1c5ad,CONFIRMED,6.481,00
416,op-f024625fb348,CONFIRMED,6.477,00
417,op-a473956798de,CONFIRMED,6.484,00
418,op-8bdba49aee1b,CONFIRMED,6.484,00
419,op-210e808bd171,CONFIRMED,6.499,00
420,op-77cd13a82395,CONFIRMED,6.498,00
421,op-f8c85fac58ad,CONFIRMED,6.496,00
422,op-004c7052077c,CONFIRMED,6.509,00
423,op-1a7c324bc891,CONFIRMED,6.519,00
424,op-970ec91891cb,CONFIRMED,6.509,00
425,op-42cbbc94b6d0,CONFIRMED,6.521,00
426,op-f5cda3cba83d,CONFIRMED,6.52,00
427,op-028293afb72c,CONFIRMED,6.533,00
428,op-b86f85353c9d,CONFIRMED,6.545,00
429,op-426566bbf4bd,CONFIRMED,6.526,00
430,op-47a58d39bb6b,CONFIRMED,6.517,00
431,op-e1a9f026a749,CONFIRMED,6.518,00
432,op-43d1cdf25655,CONFIRMED,6.518,00
433,op-86c1ec1f8f64,CONFIRMED,6.517,00
434,op-0cbb0d98d561,CONFIRMED,6.516,00
435,op-69062aeebacf,CONFIRMED,6.516,00
436,op-500c97ea6c29,CONFIRMED,6.533,00
437,op-7f8a007f557d,CONFIRMED,6.519,00
438,op-f0327deb1318,CONFIRMED,6.517,00
439,op-43bd2563e754,CONFIRMED,6.492,00
440,op-73a97e84299d,CONFIRMED,6.481,00
441,op-81779b9e41cd,CONFIRMED,6.48,00
442,op-aeb52e98ffb3,CONFIRMED,6.479,00
443,op-76a6891690d0,CONFIRMED,6.478,00
444,op-0ba6eb28e753,CONFIRMED,6.481,00
445,op-cddc863267f1,CONFIRMED,6.5,00
446,op-6aea46c9e774,CONFIRMED,6.487,00
447,op-a7379a40aae6,CONFIRMED,6.485,00
448,op-0b812644536d,CONFIRMED,6.473,00
449,op-c0dc98f874f0,CONFIRMED,6.47,00
450,op-23b094bfcef6,CONFIRMED,6.479,00
451,op-75de8ad41091,CONFIRMED,6.486,00
452,op-a236da2af555,CONFIRMED,6.494,00
453,op-b053960f28b1,CONFIRMED,6.494,00
454,op-81bdb62ec966,CONFIRMED,6.478,00
455,op-f13e86cbbaf0,CONFIRMED,6.493,00
456,op-648b99f9e726,CONFIRMED,6.483,00
457,op-26b066cf507b,CONFIRMED,6.477,00
458,op-0f8883c8767f,CONFIRMED,6.484,00
459,op-ee5c98dd236e,CONFIRMED,6.458,00
460,op-d3e53f5977f3,CONFIRMED,6.455,00
461,op-fbdb17814fde,CONFIRMED,6.462,00
462,op-85455e1cd1ff,CONFIRMED,6.444,00
463,op-6f4cb7812ec8,CONFIRMED,6.441,00
464,op-1035b106c84b,CONFIRMED,6.425,00
465,op-f080f4143cb8,CONFIRMED,6.398,00
466,op-f2f3e35cf1b6,CONFIRMED,6.398,00
467,op-63dca2db74b7,CONFIRMED,6.408,00
468,op-9e3001ca1c1b,CONFIRMED,6.41,00
469,op-18ff424f5cc0,CONFIRMED,6.412,00
470,op-dc09847482eb,CONFIRMED,6.413,00
471,op-3ecd49725769,CONFIRMED,6.402,00
472,op-e9902abddacf,CONFIRMED,6.414,00
473,op-c232e42aebee,CONFIRMED,6.414,00
474,op-3a48881c8ee0,CONFIRMED,6.406,00
475,op-1ed920b67807,CONFIRMED,6.406,00
476,op-2392cdf6b2f8,CONFIRMED,6.391,00
477,op-9b4d59c0a24b,CONFIRMED,6.387,00
478,op-3f6a1436a1e5,CONFIRMED,6.386,00
479,op-a06b7ca4bad3,CONFIRMED,6.317,00
480,op-163db0011e63,CONFIRMED,6.327,00
481,op-1fe708c2932f,CONFIRMED,6.32,00
482,op-5081bf2baef9,CONFIRMED,6.321,00
483,op-b6ea826a2a15,CONFIRMED,6.307,00
484,op-3ec5eeffcc31,CONFIRMED,6.299,00
485,op-73977a53fb8a,CONFIRMED,6.291,00
486,op-486fb209408e,CONFIRMED,6.312,00
487,op-43faf529fc7e,CONFIRMED,6.291,00
488,op-5526f841b14d,CONFIRMED,6.309,00
489,op-3980b611b620,CONFIRMED,6.318,00
490,op-559a9e783373,CONFIRMED,6.327,00
491,op-786286b6aad0,CONFIRMED,6.338,00
492,op-b5667648c6db,CONFIRMED,6.36,00
493,op-1510008aa6da,CONFIRMED,6.37,00
494,op-900fa39b0eb0,CONFIRMED,6.38,00
495,op-6f2f01bc985d,CONFIRMED,6.368,00
496,op-6b4337be4136,CONFIRMED,6.377,00
497,op-ac912e7af579,CONFIRMED,6.388,00
498,op-7d960b6a2e2b,CONFIRMED,6.368,00
499,op-765cf2e01283,CONFIRMED,6.388,00
500,op-62ea9d18d97f,CONFIRMED,6.676,00
501,op-222128156819,CONFIRMED,6.685,00
502,op-d3874ca3ab0c,CONFIRMED,6.683,00
503,op-20ca39a5da5c,CONFIRMED,6.705,00
504,op-c40632a798f7,CONFIRMED,6.68,00
505,op-7af1f841d08b,CONFIRMED,6.679,00
506,op-f4bb01239802,CONFIRMED,6.677,00
507,op-2f4d7a9d6f65,CONFIRMED,6.685,00
508,op-3ca95ff2e1ae,CONFIRMED,6.685,00
509,op-f251941584f8,CONFIRMED,6.692,00
510,op-c197b769b536,CONFIRMED,6.701,00
511,op-3999d1124165,CONFIRMED,6.692,00
512,op-db0077f003e7,CONFIRMED,6.701,00
513,op-c781d187e05c,CONFIRMED,6.694,00
514,op-daa839485d48,CONFIRMED,6.715,00
